[09-Feb-2018 17:39:16 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/CommentsController.php on line 23
[09-Feb-2018 18:06:06 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW), expecting ']' in /home/ubuntu/workspace/my_app_name/src/Template/Comments/index.ctp on line 30
[09-Feb-2018 18:10:02 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /home/ubuntu/workspace/my_app_name/src/Template/Element/one_article.ctp on line 3
[09-Feb-2018 18:10:23 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /home/ubuntu/workspace/my_app_name/src/Template/Element/one_article.ctp on line 5
[11-Feb-2018 17:12:17 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 79
[11-Feb-2018 17:23:08 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:23:24 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:23:37 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:24:54 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:25:07 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:25:15 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:25:25 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:25:31 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 17:25:37 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[11-Feb-2018 21:47:41 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 95
[11-Feb-2018 21:48:09 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 95
[11-Feb-2018 21:49:53 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 96
[11-Feb-2018 22:21:20 Asia/Tokyo] PHP Fatal error:  Call to a member function findBySlug() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 96
[11-Feb-2018 22:29:35 Asia/Tokyo] PHP Fatal error:  Call to undefined function App\Controller\contain() in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 96
[11-Feb-2018 22:51:22 Asia/Tokyo] PHP Fatal error:  Call to a member function find() on boolean in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 21
[12-Feb-2018 00:27:01 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　　　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:27:22 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　　　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:27:33 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　　　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:28:33 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:29:04 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:29:25 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:46:10 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
[12-Feb-2018 00:46:16 Asia/Tokyo] PHP Parse error:  syntax error, unexpected '　' (T_STRING) in /home/ubuntu/workspace/my_app_name/src/Controller/FoodsController.php on line 92
